OpenROAD 26Q2-254-g61932e897 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
openroad> read_db physical/results/padframe/route/floorplan.odb
openroad> connect_by_abutment
[ERROR PAD-0002] IO_CORNER_NORTH_WEST_INST/DVDD (VDD) and IO_FILL_N_0355/DVSS (VSS) are touching, but are connected to different nets
PAD-0002
while evaluating connect_by_abutment
openroad> check_power_grid -net VDD -error_file physical/results/padframe/pdn_trials/oriented_abutment/vdd_errors.rpt
[WARNING PSM-0038] Unconnected shape on net VDD at (375.200um, 503.550um) - (376.565um, 504.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 684.990um) - (560.000um, 685.890um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 695.070um) - (560.000um, 695.970um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 705.150um) - (560.000um, 706.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 715.230um) - (560.000um, 716.130um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 725.310um) - (560.000um, 726.210um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 735.390um) - (560.000um, 736.290um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 745.470um) - (560.000um, 746.370um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 755.550um) - (560.000um, 756.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 765.630um) - (560.000um, 766.530um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 775.710um) - (560.000um, 776.610um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 785.790um) - (560.000um, 786.690um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 795.870um) - (560.000um, 796.770um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 805.950um) - (560.000um, 806.850um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 816.030um) - (560.000um, 816.930um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 826.110um) - (560.000um, 827.010um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 836.190um) - (560.000um, 837.090um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 846.270um) - (560.000um, 847.170um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 856.350um) - (560.000um, 857.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 866.430um) - (560.000um, 867.330um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 876.510um) - (560.000um, 877.410um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 886.590um) - (560.000um, 887.490um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 896.670um) - (560.000um, 897.570um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 906.750um) - (560.000um, 907.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 916.830um) - (560.000um, 917.730um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 926.910um) - (560.000um, 927.810um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 936.990um) - (560.000um, 937.890um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 947.070um) - (560.000um, 947.970um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 957.150um) - (560.000um, 958.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 967.230um) - (560.000um, 968.130um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 977.310um) - (560.000um, 978.210um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 987.390um) - (560.000um, 988.290um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 997.470um) - (560.000um, 998.370um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1007.550um) - (560.000um, 1008.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1017.630um) - (560.000um, 1018.530um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1027.710um) - (560.000um, 1028.610um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1037.790um) - (560.000um, 1038.690um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1047.870um) - (560.000um, 1048.770um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1057.950um) - (560.000um, 1058.850um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1068.030um) - (560.000um, 1068.930um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1078.110um) - (560.000um, 1079.010um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1088.190um) - (560.000um, 1089.090um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1098.270um) - (560.000um, 1099.170um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1108.350um) - (560.000um, 1109.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1118.430um) - (560.000um, 1119.330um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1128.510um) - (560.000um, 1129.410um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1138.590um) - (560.000um, 1139.490um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1148.670um) - (560.000um, 1149.570um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1158.750um) - (560.000um, 1159.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1168.830um) - (560.000um, 1169.730um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1178.910um) - (560.000um, 1179.810um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1188.990um) - (560.000um, 1189.890um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1199.070um) - (560.000um, 1199.970um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1209.150um) - (560.000um, 1210.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1219.230um) - (560.000um, 1220.130um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1229.310um) - (560.000um, 1230.210um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1239.390um) - (560.000um, 1240.290um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1249.470um) - (560.000um, 1250.370um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1259.550um) - (560.000um, 1260.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1269.630um) - (560.000um, 1270.530um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1279.710um) - (560.000um, 1280.610um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1289.790um) - (560.000um, 1290.690um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1299.870um) - (560.000um, 1300.770um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1309.950um) - (560.000um, 1310.850um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1320.030um) - (560.000um, 1320.930um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1330.110um) - (560.000um, 1331.010um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1340.190um) - (560.000um, 1341.090um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1350.270um) - (560.000um, 1351.170um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1360.350um) - (560.000um, 1361.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1370.430um) - (560.000um, 1371.330um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1380.510um) - (560.000um, 1381.410um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1390.590um) - (560.000um, 1391.490um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1400.670um) - (560.000um, 1401.570um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1410.750um) - (560.000um, 1411.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1420.830um) - (560.000um, 1421.730um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1430.910um) - (560.000um, 1431.810um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1440.990um) - (560.000um, 1441.890um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1451.070um) - (560.000um, 1451.970um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1461.150um) - (560.000um, 1462.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1471.230um) - (560.000um, 1472.130um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1481.310um) - (560.000um, 1482.210um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1491.390um) - (560.000um, 1492.290um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1501.470um) - (560.000um, 1502.370um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1511.550um) - (560.000um, 1512.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1521.630um) - (560.000um, 1522.530um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1531.710um) - (560.000um, 1532.610um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1541.790um) - (560.000um, 1542.690um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1551.870um) - (560.000um, 1552.770um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1561.950um) - (560.000um, 1562.850um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1572.030um) - (560.000um, 1572.930um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1582.110um) - (560.000um, 1583.010um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1592.190um) - (560.000um, 1593.090um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1602.270um) - (560.000um, 1603.170um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1612.350um) - (560.000um, 1613.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1622.430um) - (560.000um, 1623.330um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1632.510um) - (560.000um, 1633.410um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1642.590um) - (560.000um, 1643.490um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1652.670um) - (560.000um, 1653.570um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1662.750um) - (560.000um, 1663.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (559.730um, 1672.830um) - (560.000um, 1673.730um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 564.240um) - (678.720um, 564.720um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 574.320um) - (678.720um, 574.800um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 584.400um) - (678.720um, 584.880um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 594.480um) - (678.720um, 594.960um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 604.560um) - (678.720um, 605.040um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 614.640um) - (678.720um, 615.120um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 624.720um) - (678.720um, 625.200um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 634.800um) - (678.720um, 635.280um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 644.880um) - (678.720um, 645.360um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 654.960um) - (678.720um, 655.440um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 665.040um) - (678.720um, 665.520um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 675.120um) - (678.720um, 675.600um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 685.200um) - (678.720um, 685.680um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 695.280um) - (678.720um, 695.760um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 705.360um) - (678.720um, 705.840um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 715.440um) - (678.720um, 715.920um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 725.520um) - (678.720um, 726.000um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 735.600um) - (678.720um, 736.080um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 745.680um) - (678.720um, 746.160um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 755.760um) - (678.720um, 756.240um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 765.840um) - (678.720um, 766.320um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 775.920um) - (678.720um, 776.400um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 786.000um) - (678.720um, 786.480um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 796.080um) - (678.720um, 796.560um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 806.160um) - (678.720um, 806.640um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 816.240um) - (678.720um, 816.720um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 826.320um) - (678.720um, 826.800um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 836.400um) - (678.720um, 836.880um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 846.480um) - (678.720um, 846.960um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 856.560um) - (678.720um, 857.040um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 866.640um) - (678.720um, 867.120um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 876.720um) - (678.720um, 877.200um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 886.800um) - (678.720um, 887.280um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 896.880um) - (678.720um, 897.360um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 906.960um) - (678.720um, 907.440um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 917.040um) - (678.720um, 917.520um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 927.120um) - (678.720um, 927.600um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 937.200um) - (678.720um, 937.680um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 947.280um) - (678.720um, 947.760um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 957.360um) - (678.720um, 957.840um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 967.440um) - (678.720um, 967.920um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 977.520um) - (678.720um, 978.000um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 987.600um) - (678.720um, 988.080um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 997.680um) - (678.720um, 998.160um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 1007.760um) - (678.720um, 1008.240um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 1017.840um) - (678.720um, 1018.320um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 1027.920um) - (678.720um, 1028.400um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 1038.000um) - (678.720um, 1038.480um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 1048.080um) - (678.720um, 1048.560um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 1058.160um) - (678.720um, 1058.640um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 1068.240um) - (678.720um, 1068.720um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 1078.320um) - (678.720um, 1078.800um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 1088.400um) - (678.720um, 1088.880um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 1098.480um) - (678.720um, 1098.960um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 1108.560um) - (678.720um, 1109.040um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 1118.640um) - (678.720um, 1119.120um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 1128.720um) - (678.720um, 1129.200um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 1138.800um) - (678.720um, 1139.280um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 1148.880um) - (678.720um, 1149.360um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 1158.960um) - (678.720um, 1159.440um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 1169.040um) - (678.720um, 1169.520um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 1179.120um) - (678.720um, 1179.600um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 1189.200um) - (678.720um, 1189.680um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 1199.280um) - (678.720um, 1199.760um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 1209.360um) - (678.720um, 1209.840um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 1219.440um) - (678.720um, 1219.920um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 1229.520um) - (678.720um, 1230.000um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (560.000um, 1239.600um) - (678.720um, 1240.080um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1259.550um) - (588.830um, 1260.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1259.550um) - (589.450um, 1262.700um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1269.630um) - (588.830um, 1270.530um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1267.380um) - (589.450um, 1272.780um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1279.710um) - (588.830um, 1280.610um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1277.460um) - (589.450um, 1282.860um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1289.790um) - (588.830um, 1290.690um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1287.540um) - (589.450um, 1292.940um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1299.870um) - (588.830um, 1300.770um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1297.620um) - (589.450um, 1303.020um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1309.950um) - (588.830um, 1310.850um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1307.700um) - (589.450um, 1313.100um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1320.030um) - (588.830um, 1320.930um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1317.780um) - (589.450um, 1323.180um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1330.110um) - (588.830um, 1331.010um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1327.860um) - (589.450um, 1333.260um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1340.190um) - (588.830um, 1341.090um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1337.940um) - (589.450um, 1343.340um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1350.270um) - (588.830um, 1351.170um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1348.020um) - (589.450um, 1353.420um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1358.100um) - (589.450um, 1363.500um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1360.350um) - (588.830um, 1361.250um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1370.430um) - (588.830um, 1371.330um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1368.180um) - (589.450um, 1373.580um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1380.510um) - (588.830um, 1381.410um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1378.260um) - (589.450um, 1383.660um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1390.590um) - (588.830um, 1391.490um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1388.340um) - (589.450um, 1393.740um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1400.670um) - (588.830um, 1401.570um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1398.420um) - (589.450um, 1403.820um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1410.750um) - (588.830um, 1411.650um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1408.500um) - (589.450um, 1413.900um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1420.830um) - (588.830um, 1421.730um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1418.580um) - (589.450um, 1423.980um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1428.660um) - (589.450um, 1434.060um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1430.910um) - (588.830um, 1431.810um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1440.990um) - (588.830um, 1441.890um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1438.740um) - (589.450um, 1444.140um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1448.820um) - (589.450um, 1454.220um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1451.070um) - (588.830um, 1451.970um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1458.900um) - (589.450um, 1464.300um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1461.150um) - (588.830um, 1462.050um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1468.980um) - (589.450um, 1474.380um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1471.230um) - (588.830um, 1472.130um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1481.310um) - (588.830um, 1482.210um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1479.060um) - (589.450um, 1484.460um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1491.390um) - (588.830um, 1492.290um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1489.140um) - (589.450um, 1494.540um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1501.470um) - (588.830um, 1502.370um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1499.220um) - (589.450um, 1504.620um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1511.550um) - (588.830um, 1512.450um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1509.300um) - (589.450um, 1514.700um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1521.630um) - (588.830um, 1522.530um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1519.380um) - (589.450um, 1524.780um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1531.710um) - (588.830um, 1532.610um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1529.460um) - (589.450um, 1534.860um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1541.790um) - (588.830um, 1542.690um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.830um, 1539.540um) - (589.450um, 1544.940um), layer: Metal1.
[WARNING PSM-0038] Unconnected shape on net VDD at (588.560um, 1551.870um) - (588.830um, 1552.770um), layer: Metal1.
